,Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate
83,2048,1734.0,691.8073756200001,"[19 19 19 19 19 18  0 19 19  0 19 19 19  0  0 19 19  1  0  0 19  0 19 19
 19  0 19 11 13 19 19 19 19 19 19]",500,0.4,500,0.4
84,0,1047.0,0.2639832149998256,"[11 13 19 17  9  9 12 12 10  1 15  4 17 16  1  9 19  5 16 11  3  8  0 13
  3 11 14  6  9 11  9 14  2  3  4]",500,0.6,500,0.6
85,2,1325.0,1.2266889229995286,"[ 6  7 13 16 18 18 10 19  8  3  8 13  2 16  7 17 10 19  2  0  8  3 13 11
 14 17 13 18  9 17 16 18  8 18 12]",500,0.6,500,0.6
86,4,1428.0,2.2400942459998987,"[ 0 18 18 18 18  8 10 15 15 13  3 12 12  3  9 13 15 17  7 11 17  6 14  9
 19  2 12 17 15 19 12 16 17 16  6]",500,0.6,500,0.6
87,8,1450.0,4.8074027040001965,"[12 18  7 18 18  8  2 15 19  5  3 19 12  1  1 12 15 19  9 11  9 18  0 15
 19 10 12 17 15 19 12 16 18 18  6]",500,0.6,500,0.6
88,16,1545.0,8.813913431999936,"[ 4 18 16 18 18  2  0 13 19  5 16 19 12  1 12 19 16 11 12  5  9  1 11 17
 19 10 18 11 16 16 12 14 19 16 17]",500,0.6,500,0.6
89,32,1618.0,16.837528014999407,"[18 17 19 18 18 16  3 19 19  5 17 19 16  5  4 19 13  5  2  3 16  8 10 17
 16  2 12 17  6 17 18 18 16 17 19]",500,0.6,500,0.6
90,64,1690.0,32.86838140100008,"[17 18 19 18 19  8  0 15 19  0 17 19 18  1  1 19 19  5  1  1 16  8 13 18
 19  2 19 17 16 16 18 18 19 19 19]",500,0.6,500,0.6
91,128,1723.0,64.37341161799941,"[19 18 19 18 19 12  0 19 19  0 19 19 18  0  0 19 19  2  1  0 19  1 18 19
 19  0 19 17 12 19 18 19 19 19 19]",500,0.6,500,0.6
92,256,1733.0,126.43970266699944,"[19 19 19 19 19 11  0 19 19  0 19 19 19  0  0 19 19  2  0  0 19  1 19 19
 19  0 19 17 13 19 19 19 19 19 19]",500,0.6,500,0.6
93,512,1733.0,260.522714058,"[19 19 19 19 19 11  0 19 19  0 19 19 19  0  0 19 19  2  0  0 19  1 19 19
 19  0 19 17 13 19 19 19 19 19 19]",500,0.6,500,0.6
94,1024,1733.0,600.9449737589994,"[19 19 19 19 19 11  0 19 19  0 19 19 19  0  0 19 19  2  0  0 19  1 19 19
 19  0 19 17 13 19 19 19 19 19 19]",500,0.6,500,0.6
95,2048,1733.0,753.6649457459998,"[19 19 19 19 19 11  0 19 19  0 19 19 19  0  0 19 19  2  0  0 19  1 19 19
 19  0 19 17 13 19 19 19 19 19 19]",500,0.6,500,0.6
96,0,1117.0,0.43180023500008247,"[ 8 12 19  8 11  8 19 14  3  7  1  7 19 19  7 17  2  9 16 19 13 18  2 10
  6 18 11  0 14 18  5 18 14  6 17]",500,0.8,500,0.8
97,2,1386.0,2.9507880970004408,"[18 16  0 19 13 17  6  9 11  0 14 18  3 15 17 19 15 14  7  1 14 13 13 15
 19  9 12  3 18  1  4  9 19 15 16]",500,0.8,500,0.8
98,4,1386.0,4.528919495999617,"[18 16  0 19 13 17  6  9 11  0 14 18  3 15 17 19 15 14  7  1 14 13 13 15
 19  9 12  3 18  1  4  9 19 15 16]",500,0.8,500,0.8
99,8,1473.0,7.226555088999703,"[18 14 10 19 16 17  9 12 19 14 13 18 18 15  1 18 17  5 17  0 14 12 11 18
  6  0 14 14  9 18 19  2 13 17 15]",500,0.8,500,0.8
100,16,1550.0,13.787422700000207,"[17 19 19 18 19 17  2 14 17  0 19 18 10  2 15 17 19  8  2  5 14  3 11  5
 15  8 18 17 12 13  8  9 11 19 18]",500,0.8,500,0.8
101,32,1626.0,25.20650951100015,"[15 19 19 18 18 17  2 19 19  5 18 18 18  1  1 18 18 13  3  6 16 10 11 18
 15  3 19  6 16 18 14 14 16 14 18]",500,0.8,500,0.8
102,64,1705.0,47.8296620860001,"[18 19 19 18 19 18  1 18 19  0 18 18 13  2  1 19 19  2  0  0 16  0 13 19
 19  0 18 15 16 18 19 19 17 19 18]",500,0.8,500,0.8
103,128,1731.0,105.09556995599996,"[19 19 19 19 19 13  0 19 19  0 19 19 17  0  0 19 19  3  0  0 19  0 19 19
 19  0 19 15 14 18 19 19 19 19 19]",500,0.8,500,0.8
104,256,1733.0,222.9104245510007,"[19 19 19 19 19 13  0 19 19  0 19 19 18  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 15 14 19 19 19 19 19 19]",500,0.8,500,0.8
105,512,1733.0,425.31232170399926,"[19 19 19 19 19 13  0 19 19  0 19 19 18  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 15 14 19 19 19 19 19 19]",500,0.8,500,0.8
106,1024,1733.0,1004.9387033950006,"[19 19 19 19 19 13  0 19 19  0 19 19 18  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 15 14 19 19 19 19 19 19]",500,0.8,500,0.8
107,2048,1733.0,1127.5440215630006,"[19 19 19 19 19 13  0 19 19  0 19 19 18  0  0 19 19  2  0  0 19  0 19 19
 19  0 19 15 14 19 19 19 19 19 19]",500,0.8,500,0.8
108,0,1266.0,0.45993522200114967,"[11 14 19  5 19 19  3 12 10 10  5 19  0  3 18 13 13  6 17 12  7  0 13  3
 15  8 12 13 15 14 12 11  1 16 17]",500,1.0,500,1.0
109,2,1355.0,3.35568627900102,"[16 15 19 11 18 12 12 11 19 18  3  7 15  6 17 17  9 13 11 11 19  6 16 17
 14  1  4  6 11  5 18 11 11 16 10]",500,1.0,500,1.0
110,4,1411.0,4.802678906000438,"[10 18 12 11 16  3 11 13 16 14 18 16  7 15  2 17 19  4 15  7 19 19  9 19
 17  6 13 12 15  6 17 13  8 12 14]",500,1.0,500,1.0
111,8,1426.0,7.5354065540013835,"[13 18 16 15 19 19  1  4 15 17  8 12 19 11 19  6 10 14  8  4  6  1  5 15
 17  1 15 18 17 15 18 19 12  5 16]",500,1.0,500,1.0
112,16,1526.0,15.065384352001274,"[ 0 18 19 18 19 17  4 16 17  5 16 16  9  3  6 18 17 10  4 16 10 17 13 18
 15  6 19 14 13 19 12 12 18  9 12]",500,1.0,500,1.0
113,32,1631.0,28.24935218200153,"[16 18 19 19 19  8  0 15 19  2 11 19 18  3 12 13 18 16  2  1 13  6 13 18
 19  0 18 14 15 13 11 16 19 19 17]",500,1.0,500,1.0
114,64,1702.0,49.78471174700098,"[18 19 19 19 19 14  0 16 19  0 18 19 14  2  0 17 19  4  2  1 18  6  6 19
 19  0 19 14 15 19 18 19 19 19 18]",500,1.0,500,1.0
115,128,1723.0,92.86506057100087,"[18 19 19 19 19 17  0 16 19  0 18 19 18  0  0 19 19  4  2  0 18  0 18 19
 19  0 19 17  6 19 18 19 19 19 19]",500,1.0,500,1.0
116,256,1723.0,206.463231619,"[18 19 19 19 19 17  0 16 19  0 18 19 18  0  0 19 19  4  2  0 18  0 18 19
 19  0 19 17  6 19 18 19 19 19 19]",500,1.0,500,1.0
117,512,1723.0,452.0796816540005,"[18 19 19 19 19 17  0 16 19  0 18 19 18  0  0 19 19  4  2  0 18  0 18 19
 19  0 19 17  6 19 18 19 19 19 19]",500,1.0,500,1.0
118,1024,1723.0,861.2206709990005,"[18 19 19 19 19 17  0 16 19  0 18 19 18  0  0 19 19  4  2  0 18  0 18 19
 19  0 19 17  6 19 18 19 19 19 19]",500,1.0,500,1.0
119,2048,1723.0,916.3584876390014,"[18 19 19 19 19 17  0 16 19  0 18 19 18  0  0 19 19  4  2  0 18  0 18 19
 19  0 19 17  6 19 18 19 19 19 19]",500,1.0,500,1.0
