,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
93,512,19.0,0.212835290000001,"[0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1
 1 0 1]",SA,2500,2500
94,1024,35.0,0.4069910649999997,"[1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 0]",SA,2500,2500
95,2048,38.0,0.7672322850000057,"[1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",SA,2500,2500
96,1,11.0,0.0006428080000091541,"[0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 1 0 0 1 1 1 0 1 1 1 1
 1 1 1]",SA,5000,5000
97,2,13.0,0.0030431620000115345,"[0 0 1 1 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 1 0 0 1 1 1 0 1 1 1 1
 1 1 1]",SA,5000,5000
98,4,11.0,0.005846975000011412,"[0 0 1 1 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1
 1 1 1]",SA,5000,5000
99,8,13.0,0.009201121000003809,"[0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1
 1 1 1]",SA,5000,5000
100,16,17.0,0.013922726000004104,"[0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 0 1 0 0 1 1 0 1 1 1 0 1 1
 0 1 1]",SA,5000,5000
101,32,18.0,0.021161145000007764,"[0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 0 1 0
 0 1 0]",SA,5000,5000
102,64,17.0,0.034002859000011654,"[0 0 1 1 1 1 0 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 0
 1 1 1]",SA,5000,5000
103,128,18.0,0.05976381400000719,"[0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0
 1 1 0]",SA,5000,5000
104,256,17.0,0.10880569500000092,"[1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 1 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0
 1 1 0]",SA,5000,5000
105,512,17.0,0.20876857700000073,"[0 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1 0 0 0 0 0 1 1 1 1 1 1 0 1 0 0 1 0 1 1 1 0
 0 0 1]",SA,5000,5000
106,1024,35.0,0.39904465600000094,"[0 1 0 1 0 1 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0
 1 0 1]",SA,5000,5000
107,2048,39.0,0.5224200270000097,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",SA,5000,5000
108,1,14.0,0.0008135030000033794,"[0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0 0]",SA,10000,10000
109,2,12.0,0.003353371999992305,"[0 0 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0 0]",SA,10000,10000
110,4,16.0,0.006153112999996324,"[0 0 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 1 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 1
 0 0 0]",SA,10000,10000
111,8,18.0,0.00956355799999642,"[0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0 1 1 1 1 1 0 0
 0 0 0]",SA,10000,10000
112,16,22.0,0.014314988999998945,"[0 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 1 1 0 0 1 1 0 1 1 1 1 0 0 0 1 0 1 0 1 0 0
 1 0 0]",SA,10000,10000
113,32,19.0,0.021825542000001974,"[1 0 1 1 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 0 0
 1 0 0]",SA,10000,10000
114,64,19.0,0.03484331800000007,"[0 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 0
 0 0 1]",SA,10000,10000
115,128,21.0,0.06082048000000384,"[1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1 1 0
 1 1 0]",SA,10000,10000
116,256,24.0,0.1101118999999926,"[0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1
 0 1 0]",SA,10000,10000
117,512,13.0,0.21087572199999727,"[0 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 0 1 1 1 0 0 0 0 0 1 1
 1 1 1]",SA,10000,10000
118,1024,33.0,0.4068352059999967,"[1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 0 1 0]",SA,10000,10000
119,2048,39.0,0.5713384240000039,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",SA,10000,10000
