,Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent
59,4,1527.0,29.618797283997992,"[13. 19. 19. 19. 17.  6.  4. 13. 12.  8.  2.  5. 19. 19. 12. 19. 12.  3.
 16. 13. 17. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  5.  6. 17.]",400,0.1,400,0.1
60,8,1532.0,58.357848077997915,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
61,16,1532.0,117.2397948499929,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
62,32,1532.0,230.4494682959994,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
63,64,1532.0,457.77996016499674,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
64,128,1532.0,941.1299695509952,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
65,256,1532.0,1944.1602723229953,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
66,512,1532.0,3960.967154168997,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
67,1024,1532.0,6974.866968126,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
68,2048,1532.0,6974.866968126,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
69,4096,1532.0,6974.866968126,"[13. 19. 19. 19. 17.  6.  4. 13. 17.  8.  2.  5. 19. 19. 19. 19. 12.  3.
 16. 13.  6. 16.  5.  5. 19. 11. 14.  4. 14. 19.  7. 18.  8.  6. 18.]",400,0.1,400,0.1
70,0,860.0,0.1555987730025663,"[ 7  5  3 15 13  9  2 15  0  6 19  3  9 19 13  1 12  4  5  2 19  0 10  7
  7  6  1 16 14 10  5  4  5 17  9]",400,0.25,400,0.25
71,1,1446.0,6.13340283800062,"[19. 13. 14. 18.  0.  0. 16. 19.  8. 18.  0. 16. 11. 11.  1. 19.  9.  3.
 17. 17. 18. 17. 13.  5. 10. 19. 10. 18. 12. 13.  4. 17. 16. 18. 11.]",400,0.25,400,0.25
72,2,1473.0,12.05398907900235,"[18. 18. 18. 12. 16.  9. 16.  7. 14. 15.  4.  2. 19. 11. 14. 13. 13. 16.
 13. 18.  6. 13.  4.  2.  1.  2. 13. 15. 17. 11.  1. 19.  7. 14. 19.]",400,0.25,400,0.25
73,4,1512.0,25.215889671002515,"[16. 19. 19. 18.  6.  0. 19.  7. 19. 17.  0.  3. 19. 11.  9. 13.  7. 15.
  1. 17. 18. 13.  1.  6. 16.  4. 14. 18. 17. 14. 17. 16.  9.  9. 10.]",400,0.25,400,0.25
74,8,1591.0,48.55213102400012,"[17. 19. 19. 18.  3.  0. 17.  2. 10. 19.  0.  7. 11. 18. 16. 19.  9. 15.
 15. 17. 15. 11.  1.  8. 16.  9. 14. 17. 12. 19.  6. 17. 14. 15. 17.]",400,0.25,400,0.25
75,16,1623.0,93.15595385800407,"[17. 19. 19. 18.  6.  0. 17.  2. 17. 19.  0.  0. 14. 18. 16. 19.  9. 15.
  1. 17. 19. 13.  1.  7. 16.  9. 14. 10. 12. 19.  6. 19. 11.  9. 19.]",400,0.25,400,0.25
76,32,1623.0,180.91279676500562,"[17. 19. 19. 18.  6.  0. 17.  2. 17. 19.  0.  0. 14. 18. 16. 19.  9. 15.
  1. 17. 19. 13.  1.  7. 16.  9. 14. 10. 12. 19.  6. 19. 11.  9. 19.]",400,0.25,400,0.25
